EHI_code,sample,Species,Location,Batch,Date_sample,Bd_status
EHI01698,AHI23,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI01699,AHI31,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI01696,AHI32,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI01697,AHI33,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI01700,AHI49,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_positive
EHI01701,AHI56,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI01695,AHI74,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_positive
EHI01702,AHI76,Bombina_sp.,Papuk_Nature_Park,MS0085,10/05/2023,Bd_negative
EHI02558,AHN09,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_negative
EHI02680,AHN09,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_negative
EHI02554,AHN11,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_negative
EHI02676,AHN11,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_negative
EHI02565,AHN13,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02687,AHN13,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02553,AHN23,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02675,AHN23,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02541,AHN27,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02663,AHN27,Bombina_sp.,Matra_mountains,MS0080,01/05/2023,Bd_positive
EHI02550,AHN49,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02672,AHN49,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02569,AHN53,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02691,AHN53,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02547,AHN55,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02669,AHN55,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02561,AHN57,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02683,AHN57,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02549,AHN75,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02671,AHN75,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_negative
EHI02559,AHN77,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02681,AHN77,Bombina_sp.,Matra_mountains,MS0080,02/05/2023,Bd_positive
EHI02563,AHO04,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02685,AHO04,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02562,AHO07,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02684,AHO07,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02544,AHO21,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02666,AHO21,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02551,AHO23,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_positive
EHI02673,AHO23,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_positive
EHI02570,AHO27,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02692,AHO27,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02540,AHO29,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02662,AHO29,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02545,AHO38,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02667,AHO38,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02566,AHO40,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02688,AHO40,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02552,AHO42,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02674,AHO42,Bombina_sp.,Matra_mountains,MS0080,03/05/2023,Bd_negative
EHI02568,AHO54,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02690,AHO54,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02548,AHO56,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02670,AHO56,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02542,AHO58,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02664,AHO58,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02546,AHO74,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02668,AHO74,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02555,AHO76,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02677,AHO76,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_positive
EHI02567,AHO78,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02689,AHO78,Bombina_sp.,Matra_mountains,MS0080,04/05/2023,Bd_negative
EHI02564,AHO84,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02686,AHO84,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02539,AHO86,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02661,AHO86,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02543,AHO90,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02665,AHO90,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02556,AHO92,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02678,AHO92,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02557,AHO94,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02679,AHO94,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02560,AHO96,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative
EHI02682,AHO96,Bombina_sp.,Matra_mountains,MS0084,02/06/2023,Bd_negative